"state","confirmed_Nov_30","confirmed_Sep_30","confirmed_July_30","confirmed_May_30","confirmed_Mar_30","population","Nov_rate","Sep_rate","July_rate","May_rate","March_rate","Biden","Trump","Biden Support Rate","Support Which Party","2014"
"Louisiana",232414,167458,114481,39577,4025,4648794,0.0499944716844842,0.0360218155504417,0.024625956753515,0.00851339078479279,0.000865815951405891,847369,1235241,0.406878388176375,"Republican",7815
"Maine",11757,5389,3888,2282,275,1344212,0.00874638821852505,0.00400904024067632,0.00289240090104835,0.00169764888276552,0.00020458082504843,14152,5138,0.733644375324002,"Democratic",9531
"Maryland",198370,124725,87177,52015,1413,6045680,0.0328118590464596,0.0206304336319488,0.0144197178811978,0.00860366410395522,0.000233720607111193,1985023,976414,0.670290470470923,"Democratic",8602
"Massachusetts",226132,132116,111483,97090,8660,6892503,0.0328084006637357,0.0191680729047198,0.0161745305007484,0.0140863195852073,0.00125643761054584,111346,62095,0.64198199964253,"Democratic",10559
"Michigan",388942,138014,89781,62225,6803,9986857,0.0389453859207156,0.0138195630517189,0.00898991544587051,0.00623068899454553,0.000681195294976187,2804040,2649852,0.514135593444095,"Democratic",8055
"Minnesota",318763,99134,53692,24190,576,5639632,0.0565219503683928,0.0175780972942915,0.0095204793504257,0.00428928696056764,0.000102134323657998,1715631,1481537,0.536609586984481,"Democratic",8871
"Mississippi",153270,98190,57579,15229,847,2976149,0.0514994376961637,0.0329922997806897,0.0193468136171946,0.00511701531072537,0.000284595966129384,535895,754197,0.415392855703314,"Republican",7646
"Missouri",306206,126715,49139,13400,1289,6626371,0.0462102106869658,0.0191228351083874,0.0074156729226299,0.0020222230237335,0.000194525781909887,922631,1504664,0.380106661942615,"Republican",8107
"Montana",62198,13071,3814,505,171,1068778,0.0581954344120107,0.0122298550306986,0.00356856147862325,0.000472502240876964,0.000159995808296952,244786,343602,0.416028199079519,"Republican",8221
"Nebraska",128407,45564,25766,13905,145,1934408,0.0663805153824839,0.0235544931575965,0.0133198373869422,0.00718824570617988,7.49583335056513e-05,556846,927471,0.375153016505234,"Republican",8412
"Nevada",152171,79980,46824,8517,1012,3080156,0.0494036665675375,0.0259662172954876,0.0152018274399089,0.00276511968874304,0.00032855478748479,703486,669890,0.512231173400438,"Democratic",6714
"New Hampshire",20994,8266,6544,4492,314,1359711,0.0154400457155969,0.00607923301348595,0.00481278742320978,0.00330364320065073,0.000230931425869174,12357,11675,0.514189414114514,"Democratic",9589
"New Jersey",337304,205275,180970,159608,16636,8882190,0.0379753191498943,0.0231108544176605,0.0203744797172769,0.0179694422208937,0.00187296151061844,2608271,1883140,0.580724186675412,"Democratic",8859
"New Mexico",97095,29435,20388,7624,237,2096829,0.0463056357957659,0.0140378638410667,0.00972325354141897,0.00363596649989103,0.000113027814857578,501383,401238,0.555474556873815,"Democratic",7214
"New York",648043,458649,414370,369660,66663,19453561,0.03331230719147,0.023576608930365,0.021300470386887,0.0190021765166799,0.00342677620822224,3827298,2814345,0.576257712135386,"Democratic",9778
"North Carolina",364512,210632,123690,28736,1426,10488084,0.0347548703843333,0.0200829817915265,0.0117933838058505,0.00273987126724004,0.000135963823325595,2684292,2758773,0.493158174668133,"Republican",7264
"North Dakota",79252,21846,6301,2554,109,762062,0.103996787662946,0.028666958856366,0.00826835611800615,0.00335143334794282,0.000143032981568429,114902,235595,0.327825915771034,"Republican",9851
"Ohio",421063,153987,89626,35033,1933,11689100,0.0360218494152672,0.0131735548502451,0.00766748509294984,0.00299706564235057,0.000165367735753822,2679165,3154834,0.459233023522973,"Republican",8712
"Oklahoma",197745,87199,35740,6418,481,3956971,0.0499738309934543,0.0220368054251598,0.00903216121624343,0.00162194769686207,0.000121557625769812,500591,1005067,0.332473244256,"Republican",7627
"Oregon",75431,33509,18131,4185,606,4217737,0.0178842350767722,0.00794478176330103,0.00429875072817485,0.000992238254779755,0.000143678944419721,1340291,958411,0.58306426844367,"Democratic",8044
"Pennsylvania",366835,164099,115807,75697,4155,12801989,0.0286545317294055,0.0128182425402803,0.00904601620888754,0.00591290931432608,0.000324558941583218,3460574,3378700,0.505985576831693,"Democratic",9258
"Rhode Island",56723,24748,18950,14819,408,1059361,0.0535445424175517,0.0233612526796814,0.0178881420025846,0.0139886214425489,0.000385137833089948,60620,17443,0.776552271882966,"Democratic",9551
"South Carolina",217487,147942,87572,11394,925,5148714,0.0422410333920276,0.0287337770169405,0.0170085190204777,0.00221297978485501,0.000179656512286369,1091541,1385103,0.440733912504179,"Republican",7311
"South Dakota",80464,22389,8685,4960,101,884659,0.0909548198797503,0.0253080565506031,0.00981734204930939,0.00560668008803392,0.000114168284050691,150471,261043,0.365652201383185,"Republican",8933
"Tennessee",374493,196139,102871,22566,1917,6829174,0.0548372321454981,0.0287207501229285,0.0150634615547942,0.00330435276652784,0.000280707447196396,1143711,1852475,0.381722296279336,"Republican",7372
"Texas",1290057,777745,428320,62911,3173,28995881,0.0444910434002678,0.0268226028379686,0.014771753270749,0.00216965299312685,0.000109429335842563,5256299,5874976,0.472209966962455,"Republican",6998
"Utah",195706,73042,39696,9533,798,3205958,0.0610444678314563,0.0227832055192239,0.0123819463636142,0.00297352616596974,0.000248911557793334,560282,865140,0.393063948781484,"Republican",5982
"Vermont",4172,1752,1407,977,256,623989,0.00668601529834661,0.00280774180314076,0.00225484744122092,0.00156573272926286,0.000410263642468056,22708,11808,0.657897786533781,"Democratic",10190
"Virginia",237835,148271,88904,43611,1020,8535519,0.0278641521388448,0.0173710585144266,0.0104157696796176,0.00510935538893417,0.000119500641964478,2413568,1962430,0.551546869993999,"Democratic",7556
"Washington",171962,89463,56736,21349,4923,7614893,0.0225823265015017,0.0117484250927754,0.00745066279985812,0.00280358502739303,0.00064649628038109,2369612,1584651,0.599255031847907,"Democratic",7913
"West Virginia",47842,15850,6375,1989,145,1792147,0.0266953547895346,0.00884414057552199,0.00355718587816736,0.00110984199398822,8.09085415426301e-05,235984,545382,0.30201467686078,"Republican",9462
"Wisconsin",411730,122274,52108,18230,1230,5822434,0.070714412563543,0.0210004956689934,0.0089495217979285,0.00313099298334683,0.000211251857899978,1630866,1610184,0.50319063266534,"Democratic",8702
"Wyoming",33305,5948,2686,898,94,578759,0.0575455414084273,0.0102771619966169,0.00464096454655565,0.00155159574192367,0.000162416480780428,73491,193559,0.275195656244149,"Republican",8320
