state,county,Biden,Trump
Arkansas,Lee,"1,423","1,286"
Arkansas,Lincoln,"1,032","2,729"
Arkansas,Little River,"1,226","3,715"
Arkansas,Logan,"1,544","6,441"
Arkansas,Lonoke,"6,686","22,884"
Arkansas,Madison,"1,563","5,658"
Arkansas,Marion,"1,531","5,783"
Arkansas,Miller,"4,245","11,920"
Arkansas,Mississippi,"4,558","7,296"
Arkansas,Monroe,"1,147","1,545"
Arkansas,Montgomery,731,"3,046"
Arkansas,Nevada,"1,076","2,133"
Arkansas,Newton,709,"3,192"
Arkansas,Ouachita,"3,995","5,294"
Arkansas,Perry,"1,012","3,479"
Arkansas,Phillips,"3,623","2,417"
Arkansas,Pike,644,"3,519"
Arkansas,Poinsett,"1,424","5,918"
Arkansas,Polk,"1,246","7,035"
Arkansas,Pope,"5,772","18,081"
Arkansas,Prairie,654,"2,786"
Arkansas,Pulaski,"101,947","63,687"
Arkansas,Randolph,"1,215","5,355"
Arkansas,Saint Francis,"3,604","3,242"
Arkansas,Saline,"16,060","39,556"
Arkansas,Scott,483,"2,962"
Arkansas,Searcy,588,"3,365"
Arkansas,Sebastian,"14,487","31,198"
Arkansas,Sevier,"1,116","3,884"
Arkansas,Sharp,"1,398","5,938"
Arkansas,Stone,"1,180","4,616"
Arkansas,Union,"5,584","10,478"
Arkansas,Van Buren,"1,593","6,034"
Arkansas,Washington,"43,824","47,504"
Arkansas,White,"5,978","24,182"
Arkansas,Woodruff,856,"1,543"
Arkansas,Yell,"1,284","5,226"
California,Alameda,"617,659","136,309"
California,Alpine,476,244
California,Amador,"8,153","13,585"
California,Butte,"50,426","48,730"
California,Calaveras,"10,046","16,518"
California,Colusa,"3,234","4,554"
California,Contra Costa,"416,386","152,877"
California,Del Norte,"4,677","6,461"
California,El Dorado,"51,621","61,838"
California,Fresno,"193,025","164,464"
California,Glenn,"3,995","7,063"
California,Humboldt,"44,768","21,770"
California,Imperial,"34,678","20,847"
California,Inyo,"4,634","4,620"
California,Kern,"133,366","164,484"
California,Kings,"18,699","24,072"
California,Lake,"14,941","13,123"
California,Lassen,"2,799","8,970"
California,Los Angeles,"3,028,885","1,145,530"
California,Madera,"23,168","29,378"
California,Marin,"128,288","24,612"
California,Mariposa,"4,088","5,950"
California,Mendocino,"28,782","13,267"
California,Merced,"48,991","39,397"
California,Modoc,"1,150","3,109"
California,Mono,"4,013","2,513"
California,Monterey,"113,953","46,299"
California,Napa,"49,817","20,676"
California,Nevada,"36,359","26,779"
California,Orange,"814,009","676,498"
California,Placer,"106,869","122,488"
California,Plumas,"4,561","6,445"
California,Riverside,"527,945","448,702"
California,Sacramento,"440,808","259,405"
California,San Benito,"17,628","10,590"
California,San Bernardino,"455,859","366,257"
California,San Diego,"964,650","600,094"
California,San Francisco,"378,156","56,417"
California,San Joaquin,"161,137","121,098"
California,San Luis Obispo,"88,310","67,436"
California,San Mateo,"291,410","75,563"
California,Santa Barbara,"129,963","65,736"
California,Santa Clara,"617,967","214,612"
California,Santa Cruz,"114,246","26,937"
California,Shasta,"30,000","60,789"
California,Sierra,730,"1,142"
California,Siskiyou,"9,593","13,290"
California,Solano,"131,639","69,306"
California,Sonoma,"199,938","61,825"
California,Stanislaus,"105,841","104,145"
California,Sutter,"17,367","24,375"
California,Tehama,"8,911","19,141"
California,Trinity,"2,851","3,188"
California,Tulare,"66,105","77,579"
California,Tuolumne,"11,978","17,689"
California,Ventura,"251,388","162,207"
California,Yolo,"67,598","27,292"
California,Yuba,"11,230","17,676"
Colorado,Adams,"134,202","95,657"
Colorado,Alamosa,"3,759","3,813"
Colorado,Arapahoe,"213,607","127,323"
Colorado,Archuleta,"3,738","5,189"
Colorado,Baca,317,"1,867"
Colorado,Bent,732,"1,503"
Colorado,Boulder,"159,089","42,501"
Colorado,Chaffee,"7,160","6,222"
Colorado,Cheyenne,131,993
Colorado,Clear Creek,"3,604","2,754"
Colorado,Conejos,"1,959","2,286"
Colorado,Costilla,"1,311",741
Colorado,Crowley,437,"1,271"
Colorado,Custer,"1,112","2,474"
Colorado,Delta,"5,887","13,081"
Colorado,Denver,"313,293","71,618"
Colorado,Dolores,341,"1,089"
Colorado,Douglas,"104,653","121,270"
Colorado,Eagle,"18,588","9,892"
Colorado,Elbert,"4,490","14,027"
Colorado,El Paso,"161,941","202,828"
Colorado,Fremont,"7,369","17,517"
Colorado,Garfield,"15,427","14,717"
Colorado,Gilpin,"2,223","1,833"
Colorado,Grand,"4,710","4,883"
Colorado,Gunnison,"7,132","3,735"
Colorado,Hinsdale,255,353
Colorado,Huerfano,"2,076","2,203"
Colorado,Jackson,175,681
Colorado,Jefferson,"218,396","148,417"
Colorado,Kiowa,98,795
Colorado,Kit Carson,662,"3,144"
Colorado,Lake,"2,303","1,497"
Colorado,La Plata,"20,548","14,233"
Colorado,Larimer,"126,120","91,489"
Colorado,Las Animas,"3,497","4,284"
Colorado,Lincoln,470,"2,135"
Colorado,Logan,"2,218","8,087"
Colorado,Mesa,"31,536","56,894"
Colorado,Mineral,317,427
Colorado,Moffat,"1,203","5,670"
Colorado,Montezuma,"5,836","9,306"
Colorado,Montrose,"7,687","16,770"
Colorado,Morgan,"3,876","9,593"
Colorado,Otero,"3,605","5,756"
Colorado,Ouray,"2,365","1,577"
Colorado,Park,"4,903","6,991"
Colorado,Phillips,486,"1,958"
Colorado,Pitkin,"8,989","2,780"
Colorado,Prowers,"1,458","4,008"
Colorado,Pueblo,"43,772","42,252"
Colorado,Rio Blanco,561,"3,061"
Colorado,Rio Grande,"2,495","3,660"
Colorado,Routt,"10,582","5,925"
Colorado,Saguache,"1,884","1,413"
Colorado,San Juan,342,202
Colorado,San Miguel,"3,924","1,136"
Colorado,Sedgwick,301,"1,121"
Colorado,Summit,"12,631","5,322"
Colorado,Teller,"5,278","11,241"
Colorado,Washington,369,"2,595"
Colorado,Weld,"66,060","96,145"
Colorado,Yuma,785,"4,107"
Colorado,Broomfield,"29,077","16,295"
Connecticut,Andover,"1,058",998
Connecticut,Ansonia,"4,521","3,797"
Connecticut,Ashford,"1,330","1,160"
Connecticut,Avon,"7,299","4,469"
Connecticut,Barkhamsted,"1,154","1,228"
Connecticut,Beacon Falls,"1,543","2,191"
Connecticut,Berlin,"6,008","6,687"
Connecticut,Bethany,"1,912","1,718"
Connecticut,Bethel,"6,270","4,734"
Connecticut,Bethlehem,937,"1,393"
Connecticut,Bloomfield,"11,007","1,698"
Connecticut,Bolton,"1,727","1,482"
Connecticut,Bozrah,703,817
Connecticut,Branford,"10,562","7,098"
Connecticut,Bridgeport,"33,515","8,269"
Connecticut,Bridgewater,667,549
Connecticut,Bristol,"15,462","13,834"
Connecticut,Brookfield,"5,426","5,226"
Connecticut,Brooklyn,"1,876","2,262"
Connecticut,Burlington,"3,099","3,034"
Connecticut,Canaan,437,209
Connecticut,Canterbury,"1,182","1,755"
Connecticut,Canton,"3,878","2,663"
Connecticut,Chaplin,598,662
Connecticut,Cheshire,"9,745","7,349"
Connecticut,Chester,"1,701",853
Connecticut,Clinton,"4,368","3,312"
Connecticut,Colchester,"5,216","4,243"
Connecticut,Colebrook,403,563
Connecticut,Columbia,"1,888","1,600"
Connecticut,Cornwall,760,250
Connecticut,Coventry,"4,011","3,545"
Connecticut,Cromwell,"4,872","3,749"
Connecticut,Danbury,"18,869","12,788"
Connecticut,Darien,"7,876","4,921"
Connecticut,Deep River,"1,785","1,076"
Connecticut,Derby,"2,963","2,749"
Connecticut,Durham,"2,363","2,330"
Connecticut,Eastford,464,572
Connecticut,East Granby,"1,789","1,405"
Connecticut,East Haddam,"2,980","2,731"
Connecticut,East Hampton,"4,051","3,746"
Connecticut,East Hartford,"14,787","5,524"
Connecticut,East Haven,"6,757","7,572"
Connecticut,East Lyme,"7,290","4,285"
Connecticut,Easton,"2,777","2,178"
Connecticut,East Windsor,"3,008","2,541"
Connecticut,Ellington,"4,787","4,515"
Connecticut,Enfield,"11,263","9,298"
Connecticut,Essex,"3,011","1,635"
Connecticut,Fairfield,"22,861","12,052"
Connecticut,Farmington,"9,616","6,160"
Connecticut,Franklin,553,674
Connecticut,Glastonbury,"13,990","7,998"
Connecticut,Goshen,902,"1,161"
Connecticut,Granby,"4,029","3,166"
Connecticut,Greenwich,"22,243","13,269"
Connecticut,Griswold,"2,565","3,257"
Connecticut,Groton,"10,699","6,272"
Connecticut,Guilford,"9,616","5,050"
Connecticut,Haddam,"2,728","2,693"
Connecticut,Hamden,"21,652","7,139"
Connecticut,Hampton,572,551
Connecticut,Hartford,"28,301","4,116"
Connecticut,Hartland,457,818
Connecticut,Harwinton,"1,397","2,229"
Connecticut,Hebron,"3,388","2,731"
Connecticut,Kent,"1,277",568
Connecticut,Killingly,"3,402","4,678"
Connecticut,Killingworth,"2,343","1,979"
Connecticut,Lebanon,"2,052","2,268"
Connecticut,Ledyard,"4,534","3,664"
Connecticut,Lisbon,"1,099","1,331"
Connecticut,Litchfield,"2,673","2,555"
Connecticut,Lyme,"1,165",576
Connecticut,Madison,"7,625","4,638"
Connecticut,Manchester,"19,455","8,530"
Connecticut,Mansfield,"5,608","1,708"
Connecticut,Marlborough,"2,119","1,861"
Connecticut,Meriden,"14,955","9,981"
Connecticut,Middlebury,"2,259","2,741"
Connecticut,Middlefield,"1,442","1,356"
Connecticut,Middletown,"15,508","7,611"
Connecticut,Milford,"17,626","13,997"
Connecticut,Monroe,"5,838","5,989"
Connecticut,Montville,"4,406","4,242"
Connecticut,Morris,653,874
Connecticut,Naugatuck,"6,923","7,740"
Connecticut,New Britain,"16,031","7,724"
Connecticut,New Canaan,"7,298","4,855"
Connecticut,New Fairfield,"4,101","4,343"
Connecticut,New Hartford,"2,089","2,382"
Connecticut,New Haven,"35,521","6,146"
Connecticut,Newington,"10,031","7,074"
Connecticut,New London,"6,912","2,045"
Connecticut,New Milford,"8,004","7,493"
Connecticut,Newtown,"9,695","7,292"
Connecticut,Norfolk,659,381
Connecticut,North Branford,"3,718","4,786"
Connecticut,North Canaan,862,812
Connecticut,North Haven,"7,389","7,879"
Connecticut,North Stonington,"1,601","1,710"
Connecticut,Norwalk,"29,382","13,311"
Connecticut,Norwich,"9,306","5,643"
Connecticut,Old Lyme,"3,226","2,099"
Connecticut,Old Saybrook,"4,253","2,995"
Connecticut,Orange,"4,816","4,317"
Connecticut,Oxford,"3,269","5,118"
Connecticut,Plainfield,"2,849","4,080"
Connecticut,Plainville,"4,670","4,811"
Connecticut,Plymouth,"2,477","3,984"
Connecticut,Pomfret,"1,357","1,113"
Connecticut,Portland,"3,155","2,641"
Connecticut,Preston,"1,270","1,529"
Connecticut,Prospect,"2,110","3,935"
Connecticut,Putnam,"2,063","2,193"
Connecticut,Redding,"3,829","2,052"
Connecticut,Ridgefield,"10,278","5,689"
Connecticut,Rocky Hill,"6,115","4,670"
Connecticut,Roxbury,937,660
Connecticut,Salem,"1,285","1,291"
Connecticut,Salisbury,"2,023",502
Connecticut,Scotland,406,537
Connecticut,Seymour,"4,011","5,242"
Connecticut,Sharon,"1,019",510
Connecticut,Shelton,"10,837","12,747"
Connecticut,Sherman,"1,234","1,076"
Connecticut,Simsbury,"10,296","5,575"
Connecticut,Somers,"2,445","3,204"
Connecticut,Southbury,"6,570","6,260"
Connecticut,Southington,"12,855","13,473"
Connecticut,South Windsor,"9,596","5,630"
Connecticut,Sprague,641,882
Connecticut,Stafford,"2,809","3,461"
Connecticut,Stamford,"40,437","18,242"
Connecticut,Sterling,639,"1,229"
Connecticut,Stonington,"7,453","4,240"
Connecticut,Stratford,"17,363","10,516"
Connecticut,Suffield,"4,363","4,155"
Connecticut,Thomaston,"1,528","2,768"
Connecticut,Thompson,"2,050","3,005"
Connecticut,Tolland,"5,103","3,975"
Connecticut,Torrington,"7,283","9,220"
Connecticut,Trumbull,"11,919","9,769"
Connecticut,Union,249,307
Connecticut,Vernon,"9,259","5,848"
Connecticut,Voluntown,566,918
Connecticut,Wallingford,"13,560","11,831"
Connecticut,Warren,465,470
Connecticut,Washington,"1,461",770
Connecticut,Waterbury,"21,573","14,157"
Connecticut,Waterford,"6,917","5,124"
Connecticut,Watertown,"4,612","7,976"
Connecticut,Westbrook,"2,288","1,958"
Connecticut,West Hartford,"27,298","8,451"
Connecticut,West Haven,"14,245","8,126"
Connecticut,Weston,"4,733","1,680"
Connecticut,Westport,"13,048","4,222"
Connecticut,Wethersfield,"9,612","6,413"
Connecticut,Willington,"1,674","1,445"
Connecticut,Wilton,"7,676","3,819"
Connecticut,Winchester,"2,304","2,799"
Connecticut,Windham,"5,365","2,824"
Connecticut,Windsor,"13,183","4,090"
Connecticut,Windsor Locks,"3,751","3,156"
Connecticut,Wolcott,"3,333","6,519"
Connecticut,Woodbridge,"3,855","1,816"
Connecticut,Woodbury,"3,181","3,295"
Connecticut,Woodstock,"2,548","2,520"
Delaware,Kent,"44,552","41,009"
Delaware,New Castle,"195,034","88,364"
Delaware,Sussex,"56,682","71,230"
District-Of-Columbia,Ward ,"39,041","1,725"
District-Of-Columbia,Ward ,"29,078","2,918"
District-Of-Columbia,Ward ,"39,397","3,705"
District-Of-Columbia,Ward ,"42,489","1,913"
District-Of-Columbia,Ward ,"43,320","1,769"
District-Of-Columbia,Ward ,"56,719","4,337"
District-Of-Columbia,Ward ,"35,861","1,116"
District-Of-Columbia,Ward ,"30,897","1,085"
Florida,Alachua,"89,704","50,972"
Florida,Baker,"2,037","11,911"
Florida,Bay,"25,614","66,097"
Florida,Bradford,"3,160","10,334"
Florida,Brevard,"148,549","207,883"
Florida,Broward,"618,752","333,409"
Florida,Calhoun,"1,209","5,274"
Florida,Charlotte,"42,273","73,243"
Florida,Citrus,"27,092","65,352"
Florida,Clay,"38,317","84,480"
Florida,Collier,"77,621","128,950"
Florida,Columbia,"8,914","23,836"
Florida,Miami-Dade,"617,864","532,833"
Florida,DeSoto,"4,259","8,313"
Florida,Dixie,"1,365","6,759"
Florida,Duval,"252,556","233,762"
Florida,Escambia,"70,929","96,674"
Florida,Flagler,"28,161","43,043"
Florida,Franklin,"2,120","4,675"
Florida,Gadsden,"16,153","7,465"
Florida,Gilchrist,"1,700","7,895"
Florida,Glades,"1,385","3,782"
Florida,Gulf,"1,985","6,113"
Florida,Hamilton,"1,963","3,815"
Florida,Hardee,"2,298","6,122"
Florida,Hendry,"4,929","7,906"
Florida,Hernando,"37,519","70,412"
Florida,Highlands,"16,938","34,873"
Florida,Hillsborough,"376,367","327,398"
Florida,Holmes,924,"8,080"
